index,Cross Entropy,Accuracy
833,0.0410312,0.996295
834,0.0409945,0.996443
835,0.0409579,0.996492
836,0.0409213,0.996542
837,0.0408849,0.996542
838,0.0408485,0.996542
839,0.0408121,0.996542
840,0.0407759,0.996542
841,0.0407397,0.996591
842,0.0407035,0.996591
843,0.0406675,0.996591
844,0.0406315,0.996591
845,0.0405956,0.996641
846,0.0405597,0.996641
847,0.0405239,0.996641
848,0.0404882,0.996641
849,0.0404525,0.996739
850,0.0404169,0.996739
851,0.0403814,0.996739
852,0.040346,0.996739
853,0.0403106,0.996838
854,0.0402752,0.996838
855,0.04024,0.996838
856,0.0402048,0.996888
857,0.0401696,0.996888
858,0.0401346,0.996888
859,0.0400996,0.996888
860,0.0400646,0.996888
861,0.0400298,0.996888
862,0.039995,0.996888
863,0.0399602,0.996888
864,0.0399255,0.996888
865,0.0398909,0.996888
866,0.0398564,0.996888
867,0.0398219,0.996888
868,0.0397875,0.996888
869,0.0397531,0.996888
870,0.0397188,0.996888
871,0.0396846,0.996888
872,0.0396504,0.996888
873,0.0396163,0.996888
874,0.0395822,0.996888
875,0.0395483,0.996888
876,0.0395143,0.996888
877,0.0394805,0.996937
878,0.0394467,0.996937
879,0.0394129,0.996937
880,0.0393792,0.996937
881,0.0393456,0.996937
882,0.0393121,0.996937
883,0.0392786,0.996937
884,0.0392451,0.996937
885,0.0392118,0.996937
886,0.0391785,0.996937
887,0.0391452,0.996937
888,0.039112,0.996937
889,0.0390789,0.996937
890,0.0390458,0.996937
891,0.0390128,0.996937
892,0.0389798,0.996937
893,0.0389469,0.996937
894,0.0389141,0.996937
895,0.0388813,0.996937
896,0.0388486,0.996937
897,0.0388159,0.996937
898,0.0387833,0.996937
899,0.0387508,0.996937
900,0.0387183,0.996986
901,0.0386859,0.996986
902,0.0386535,0.996986
903,0.0386212,0.996986
904,0.0385889,0.996986
905,0.0385567,0.996986
906,0.0385246,0.996986
907,0.0384925,0.996986
908,0.0384605,0.996986
909,0.0384285,0.996986
910,0.0383966,0.996986
911,0.0383647,0.996986
912,0.0383329,0.996986
913,0.0383012,0.997036
914,0.0382695,0.997036
915,0.0382378,0.997036
916,0.0382063,0.997036
917,0.0381747,0.997135
918,0.0381433,0.997135
919,0.0381119,0.997135
920,0.0380805,0.997135
921,0.0380492,0.997135
922,0.0380179,0.997135
923,0.0379868,0.997135
924,0.0379556,0.997135
925,0.0379245,0.997135
926,0.0378935,0.997135
927,0.0378625,0.997135
928,0.0378316,0.997135
929,0.0378007,0.997135
930,0.0377699,0.997135
931,0.0377391,0.997135
932,0.0377084,0.997135
933,0.0376778,0.997135
934,0.0376472,0.997085
935,0.0376166,0.997085
936,0.0375861,0.997135
937,0.0375557,0.997135
938,0.0375253,0.997135
939,0.0374949,0.997135
940,0.0374647,0.997135
941,0.0374344,0.997135
942,0.0374042,0.997135
943,0.0373741,0.997135
944,0.037344,0.997135
945,0.037314,0.997135
946,0.037284,0.997184
947,0.0372541,0.997184
948,0.0372242,0.997184
949,0.0371944,0.997184
950,0.0371646,0.997184
951,0.0371349,0.997184
952,0.0371052,0.997184
953,0.0370756,0.997184
954,0.037046,0.997184
955,0.0370165,0.997184
956,0.036987,0.997233
957,0.0369576,0.997233
958,0.0369282,0.997233
959,0.0368989,0.997233
960,0.0368696,0.997233
961,0.0368404,0.997233
962,0.0368112,0.997283
963,0.0367821,0.997283
964,0.036753,0.997283
965,0.036724,0.997283
966,0.036695,0.997283
967,0.0366661,0.997283
968,0.0366372,0.997332
969,0.0366084,0.997382
970,0.0365796,0.997382
