index,Cross Entropy,Accuracy
0.969667,0.183824,318
0.969667,0.183676,319
0.969716,0.183526,320
0.969716,0.183376,321
0.969716,0.183227,322
0.969815,0.183079,323
0.969815,0.182929,324
0.969815,0.182782,325
0.969815,0.182636,326
0.969914,0.18249,327
0.969914,0.182344,328
0.969963,0.1822,329
0.970013,0.182055,330
0.970013,0.181908,331
0.970013,0.181762,332
0.970013,0.181619,333
0.970013,0.181476,334
0.970013,0.18133,335
0.970062,0.181185,336
0.970062,0.181042,337
0.970062,0.180899,338
0.970062,0.180756,339
0.970062,0.180616,340
0.970062,0.180475,341
0.970112,0.180335,342
0.97021,0.180196,343
0.97021,0.180059,344
0.97021,0.17992,345
0.97021,0.179782,346
0.97026,0.179643,347
0.97026,0.179504,348
0.97026,0.179366,349
0.970359,0.17923,350
0.970359,0.179093,351
0.970359,0.178956,352
0.970359,0.17882,353
0.970359,0.178682,354
0.970359,0.178547,355
0.970408,0.178412,356
0.970408,0.178277,357
0.970507,0.178142,358
0.970507,0.178005,359
0.970606,0.17787,360
0.970606,0.177734,361
0.970655,0.1776,362
0.970655,0.177466,363
0.970655,0.177333,364
0.970655,0.177199,365
0.970655,0.177065,366
0.970655,0.176932,367
0.970655,0.176802,368
0.970655,0.176673,369
0.970655,0.176542,370
0.970655,0.17641,371
0.970704,0.176278,372
0.970754,0.176148,373
0.970754,0.176019,374
0.970754,0.175891,375
0.970754,0.175763,376
0.970754,0.175634,377
0.970754,0.175505,378
0.970803,0.175376,379
0.970853,0.175247,380
0.970951,0.17512,381
0.970951,0.174993,382
0.970951,0.174865,383
0.970951,0.174739,384
0.971001,0.174615,385
0.9711,0.174488,386
0.9711,0.174364,387
0.9711,0.17424,388
0.971149,0.174115,389
0.971149,0.173989,390
0.971149,0.173867,391
0.971198,0.173743,392
0.971248,0.173619,393
0.971297,0.173495,394
0.971297,0.173373,395
0.971297,0.17325,396
0.971396,0.17313,397
0.971347,0.173007,398
0.971396,0.172884,399
0.971396,0.172762,400
47779,50000,0.95558
